-0.583, 2.051, 4.122, 0.762, -0.58, -0.064, -0.28
-0.57, 2.006, 4.035, 0.764, -0.564, -0.054, -0.309
-0.514, 1.808, 3.636, 0.76, -0.547, -0.079, -0.342
-0.542, 1.906, 3.833, 0.761, -0.559, -0.07, -0.321
-0.524, 1.841, 3.703, 0.756, -0.573, -0.1, -0.299
-0.553, 1.946, 3.913, 0.759, -0.578, -0.085, -0.288
-0.539, 1.896, 3.813, 0.762, -0.549, -0.061, -0.337
-0.532, 1.873, 3.767, 0.76, -0.56, -0.078, -0.321
-0.523, 1.84, 3.701, 0.759, -0.559, -0.084, -0.322
-0.523, 1.842, 3.702, 0.76, -0.556, -0.08, -0.327
-0.549, 1.933, 3.888, 0.761, -0.562, -0.066, -0.317
-0.548, 1.927, 3.875, 0.761, -0.564, -0.07, -0.312
-0.536, 1.884, 3.789, 0.759, -0.565, -0.08, -0.313
-0.523, 1.842, 3.704, 0.761, -0.552, -0.075, -0.334
-0.562, 1.976, 3.975, 0.763, -0.565, -0.061, -0.309
